nroEj;ClaseImagen;ClaseInferida;Tiempo;Confianza;Correcto;;Metricas
2183 ;  0 ; 10 ; N/A ; 0.53;NO;;
2184 ;  3 ;  3 ; N/A ; 1.00;SI;;
2185 ;  9 ;  9 ; N/A ; 1.00;SI;;
2186 ;  9 ;  7 ; N/A ; 0.78;NO;;
2187 ; 30 ; 30 ; N/A ; 0.98;SI;;
2188 ;  8 ;  8 ; N/A ; 0.98;SI;;
2189 ; 24 ; 24 ; N/A ; 0.83;SI;;
2190 ; 35 ; 35 ; N/A ; 1.00;SI;;
2191 ; 16 ; 16 ; N/A ; 0.87;SI;;
2192 ; 32 ; 19 ; N/A ; 0.34;NO;;
2193 ;  2 ; 35 ; N/A ; 0.50;NO;;
2194 ;  7 ;  7 ; N/A ; 0.76;SI;;
2195 ;  0 ;  0 ; N/A ; 0.58;SI;;
2196 ; 13 ; 13 ; N/A ; 0.92;SI;;
2197 ; 20 ; 20 ; N/A ; 0.85;SI;;
2198 ;  6 ;  6 ; N/A ; 1.00;SI;;
2199 ; 24 ; 24 ; N/A ; 0.79;SI;;
2200 ; 30 ; 30 ; N/A ; 0.93;SI;;
2201 ;  2 ; 28 ; N/A ; 0.64;NO;;
2202 ; 34 ; 34 ; N/A ; 0.88;SI;;
2203 ; 25 ; 25 ; N/A ; 0.92;SI;;
2204 ;  0 ;  0 ; N/A ; 0.52;SI;;
2205 ;  7 ;  7 ; N/A ; 1.00;SI;;
2206 ; 15 ; 15 ; N/A ; 0.90;SI;;
2207 ; 24 ;  0 ; N/A ; 0.77;NO;;
2208 ; 25 ; 22 ; N/A ; 0.96;NO;;
2209 ; 32 ; 32 ; N/A ; 1.00;SI;;
2210 ; 34 ; 31 ; N/A ; 0.53;NO;;
2211 ;  5 ;  5 ; N/A ; 0.65;SI;;
2212 ; 21 ; 18 ; N/A ; 0.87;NO;;
2213 ; 20 ;  2 ; N/A ; 0.53;NO;;
2214 ; 23 ; 23 ; N/A ; 0.98;SI;;
2215 ; 13 ; 13 ; N/A ; 1.00;SI;;
2216 ;  3 ;  3 ; N/A ; 1.00;SI;;
2217 ; 15 ; 15 ; N/A ; 0.98;SI;;
2218 ; 17 ; 17 ; N/A ; 1.00;SI;;
2219 ; 25 ; 25 ; N/A ; 1.00;SI;;
2220 ;  7 ;  7 ; N/A ; 1.00;SI;;
2221 ; 34 ; 34 ; N/A ; 0.98;SI;;
2222 ; 34 ; 34 ; N/A ; 0.99;SI;;
2223 ; 11 ; 11 ; N/A ; 0.98;SI;;
2224 ; 17 ; 17 ; N/A ; 1.00;SI;;
2225 ; 29 ; 29 ; N/A ; 0.99;SI;;
2226 ; 29 ; 29 ; N/A ; 0.95;SI;;
2227 ; 19 ; 19 ; N/A ; 1.00;SI;;
2228 ; 10 ; 10 ; N/A ; 0.63;SI;;
2229 ; 14 ; 14 ; N/A ; 1.00;SI;;
2230 ; 23 ; 23 ; N/A ; 1.00;SI;;
2231 ; 32 ; 32 ; N/A ; 1.00;SI;;
2232 ;  1 ;  1 ; N/A ; 0.80;SI;;
2233 ; 18 ;  1 ; N/A ; 0.72;NO;;
2234 ; 35 ; 35 ; N/A ; 1.00;SI;;
2235 ; 14 ; 14 ; N/A ; 0.98;SI;;
2236 ; 12 ; 12 ; N/A ; 1.00;SI;;
2237 ; 19 ; 19 ; N/A ; 0.99;SI;;
2238 ;  3 ;  3 ; N/A ; 1.00;SI;;
2239 ; 20 ; 20 ; N/A ; 0.97;SI;;
2240 ; 26 ; 26 ; N/A ; 1.00;SI;;
2241 ; 20 ; 33 ; N/A ; 0.88;NO;;
2242 ;  6 ;  6 ; N/A ; 0.99;SI;;
2243 ; 27 ; 27 ; N/A ; 1.00;SI;;
2244 ; 27 ; 27 ; N/A ; 0.99;SI;;
2245 ; 25 ; 25 ; N/A ; 1.00;SI;;
2246 ;  4 ;  4 ; N/A ; 0.99;SI;;
2247 ; 13 ; 13 ; N/A ; 1.00;SI;;
2248 ; 14 ; 14 ; N/A ; 0.95;SI;;
2249 ; 14 ; 14 ; N/A ; 1.00;SI;;
2250 ; 30 ; 30 ; N/A ; 0.82;SI;;
2251 ; 26 ; 26 ; N/A ; 0.96;SI;;
2252 ; 28 ; 28 ; N/A ; 0.99;SI;;
2253 ; 24 ;  0 ; N/A ; 0.54;NO;;
2254 ; 31 ; 31 ; N/A ; 0.97;SI;;
2255 ; 23 ; 23 ; N/A ; 0.56;SI;;
2256 ; 12 ; 12 ; N/A ; 0.99;SI;;
2257 ;  5 ;  5 ; N/A ; 0.99;SI;;
2258 ; 15 ; 15 ; N/A ; 1.00;SI;;
2259 ; 20 ; 20 ; N/A ; 1.00;SI;;
2260 ;  0 ; 24 ; N/A ; 0.84;NO;;
2261 ; 30 ; 30 ; N/A ; 0.97;SI;;
2262 ; 27 ; 27 ; N/A ; 0.99;SI;;
2263 ; 32 ; 32 ; N/A ; 1.00;SI;;
2264 ; 13 ; 13 ; N/A ; 1.00;SI;;
2265 ; 23 ; 23 ; N/A ; 1.00;SI;;
2266 ;  7 ;  7 ; N/A ; 1.00;SI;;
2267 ; 16 ; 16 ; N/A ; 0.98;SI;;
2268 ;  5 ;  5 ; N/A ; 0.88;SI;;
2269 ; 12 ; 12 ; N/A ; 0.99;SI;;
2270 ; 31 ; 31 ; N/A ; 0.95;SI;;
2271 ; 31 ; 31 ; N/A ; 0.81;SI;;
2272 ;  8 ;  8 ; N/A ; 1.00;SI;;
2273 ; 25 ; 25 ; N/A ; 0.96;SI;;
2274 ;  1 ;  1 ; N/A ; 0.48;SI;;
2275 ; 30 ; 30 ; N/A ; 0.94;SI;;
2276 ; 22 ; 22 ; N/A ; 1.00;SI;;
2277 ;  3 ;  3 ; N/A ; 1.00;SI;;
2278 ; 15 ; 15 ; N/A ; 1.00;SI;;
2279 ; 30 ; 30 ; N/A ; 1.00;SI;;
2280 ; 25 ; 25 ; N/A ; 0.90;SI;;
2281 ; 28 ; 28 ; N/A ; 0.99;SI;;
2282 ; 17 ; 17 ; N/A ; 0.98;SI;;
2283 ;  7 ;  7 ; N/A ; 0.91;SI;;
2284 ;  6 ; 16 ; N/A ; 0.55;NO;;
2285 ; 24 ; 24 ; N/A ; 0.78;SI;;
2286 ; 25 ; 25 ; N/A ; 1.00;SI;;
2287 ; 34 ; 34 ; N/A ; 1.00;SI;;
2288 ; 11 ; 11 ; N/A ; 1.00;SI;;
2289 ; 35 ; 35 ; N/A ; 0.93;SI;;
2290 ; 18 ; 18 ; N/A ; 0.97;SI;;
2291 ; 22 ; 22 ; N/A ; 0.97;SI;;
2292 ; 35 ; 35 ; N/A ; 0.61;SI;;
2293 ;  8 ;  8 ; N/A ; 0.81;SI;;
2294 ; 25 ; 25 ; N/A ; 0.60;SI;;
2295 ; 34 ; 34 ; N/A ; 0.39;SI;;
2296 ; 24 ;  0 ; N/A ; 0.60;NO;;
2297 ; 13 ; 13 ; N/A ; 1.00;SI;;
2298 ;  4 ;  4 ; N/A ; 0.80;SI;;
2299 ; 18 ; 18 ; N/A ; 0.35;SI;;
2300 ; 15 ; 15 ; N/A ; 1.00;SI;;
2301 ; 31 ; 31 ; N/A ; 0.90;SI;;
2302 ; 28 ; 28 ; N/A ; 0.78;SI;;
2303 ; 32 ; 32 ; N/A ; 1.00;SI;;
2304 ; 23 ; 23 ; N/A ; 0.68;SI;;
2305 ;  3 ;  3 ; N/A ; 1.00;SI;;
2306 ; 29 ; 29 ; N/A ; 1.00;SI;;
2307 ; 14 ; 14 ; N/A ; 0.98;SI;;
2308 ;  2 ;  2 ; N/A ; 0.57;SI;;
2309 ; 17 ; 17 ; N/A ; 1.00;SI;;
2310 ; 31 ; 31 ; N/A ; 0.99;SI;;
2311 ;  7 ;  7 ; N/A ; 0.84;SI;;
2312 ;  2 ;  2 ; N/A ; 1.00;SI;;
2313 ;  7 ;  7 ; N/A ; 0.99;SI;;
2314 ; 22 ; 22 ; N/A ; 1.00;SI;;
2315 ; 23 ; 23 ; N/A ; 0.99;SI;;
2316 ; 10 ; 10 ; N/A ; 0.98;SI;;
2317 ; 17 ; 17 ; N/A ; 0.97;SI;;
2318 ; 25 ; 25 ; N/A ; 1.00;SI;;
2319 ; 29 ; 29 ; N/A ; 0.99;SI;;
2320 ; 34 ; 34 ; N/A ; 1.00;SI;;
2321 ; 17 ; 17 ; N/A ; 0.96;SI;;
2322 ;  4 ;  4 ; N/A ; 0.96;SI;;
2323 ;  1 ;  1 ; N/A ; 0.53;SI;;
2324 ;  5 ;  5 ; N/A ; 1.00;SI;;
2325 ; 16 ; 16 ; N/A ; 0.97;SI;;
2326 ; 32 ; 32 ; N/A ; 1.00;SI;;
2327 ; 29 ; 29 ; N/A ; 1.00;SI;;
2328 ; 31 ; 23 ; N/A ; 0.54;NO;;
2329 ;  8 ;  8 ; N/A ; 1.00;SI;;
2330 ; 31 ; 31 ; N/A ; 0.98;SI;;
2331 ; 15 ; 15 ; N/A ; 0.99;SI;;
2332 ; 22 ; 22 ; N/A ; 1.00;SI;;
2333 ; 25 ; 25 ; N/A ; 0.92;SI;;
2334 ; 28 ; 28 ; N/A ; 0.82;SI;;
2335 ;  6 ;  6 ; N/A ; 1.00;SI;;
2336 ; 15 ; 15 ; N/A ; 1.00;SI;;
2337 ; 35 ; 35 ; N/A ; 0.89;SI;;
2338 ; 25 ; 26 ; N/A ; 0.62;NO;;
2339 ; 23 ; 33 ; N/A ; 0.71;NO;;
2340 ; 35 ; 35 ; N/A ; 0.53;SI;;
2341 ; 34 ; 34 ; N/A ; 0.98;SI;;
2342 ;  1 ;  1 ; N/A ; 0.54;SI;;
2343 ; 10 ; 10 ; N/A ; 0.73;SI;;
2344 ; 15 ; 15 ; N/A ; 0.93;SI;;
2345 ; 27 ; 27 ; N/A ; 0.97;SI;;
2346 ;  9 ;  9 ; N/A ; 1.00;SI;;
2347 ; 19 ; 19 ; N/A ; 1.00;SI;;
2348 ; 21 ; 21 ; N/A ; 0.34;SI;;
2349 ; 24 ;  0 ; N/A ; 0.54;NO;;
2350 ; 13 ; 13 ; N/A ; 0.94;SI;;
2351 ; 28 ; 28 ; N/A ; 0.79;SI;;
2352 ; 12 ; 14 ; N/A ; 0.83;NO;;
2353 ;  7 ;  7 ; N/A ; 0.98;SI;;
2354 ;  0 ;  0 ; N/A ; 0.55;SI;;
2355 ; 30 ; 30 ; N/A ; 0.98;SI;;
2356 ; 10 ; 20 ; N/A ; 0.92;NO;;
2357 ; 18 ; 18 ; N/A ; 0.90;SI;;
2358 ; 12 ; 12 ; N/A ; 1.00;SI;;
2359 ; 23 ; 17 ; N/A ; 0.91;NO;;
2360 ; 29 ; 29 ; N/A ; 0.97;SI;;
2361 ; 27 ; 27 ; N/A ; 0.98;SI;;
2362 ; 22 ; 22 ; N/A ; 1.00;SI;;
2363 ; 11 ; 11 ; N/A ; 0.97;SI;;
2364 ; 23 ; 30 ; N/A ; 0.51;NO;;
2365 ; 35 ; 35 ; N/A ; 0.98;SI;;
2366 ; 17 ; 17 ; N/A ; 0.99;SI;;
2367 ; 11 ; 11 ; N/A ; 0.81;SI;;
2368 ; 18 ;  1 ; N/A ; 0.67;NO;;
2369 ; 25 ; 25 ; N/A ; 1.00;SI;;
2370 ;  4 ; 16 ; N/A ; 0.50;NO;;
2371 ;  5 ;  5 ; N/A ; 0.98;SI;;
2372 ; 12 ; 12 ; N/A ; 0.70;SI;;
2373 ; 18 ; 18 ; N/A ; 0.91;SI;;
2374 ;  8 ;  8 ; N/A ; 1.00;SI;;
2375 ; 24 ;  0 ; N/A ; 0.66;NO;;
2376 ; 17 ; 23 ; N/A ; 0.54;NO;;
2377 ;  9 ;  9 ; N/A ; 0.98;SI;;
2378 ; 29 ; 29 ; N/A ; 1.00;SI;;
2379 ; 16 ; 16 ; N/A ; 0.79;SI;;
2380 ;  2 ;  2 ; N/A ; 0.70;SI;;
2381 ;  8 ;  8 ; N/A ; 0.98;SI;;
2382 ; 33 ; 34 ; N/A ; 0.71;NO;;
2383 ;  5 ;  5 ; N/A ; 0.78;SI;;
2384 ; 29 ; 29 ; N/A ; 0.88;SI;;
2385 ;  9 ;  9 ; N/A ; 1.00;SI;;
2386 ; 35 ; 35 ; N/A ; 0.93;SI;;
2387 ; 12 ; 12 ; N/A ; 1.00;SI;;
2388 ;  7 ;  7 ; N/A ; 1.00;SI;;
2389 ;  3 ;  3 ; N/A ; 1.00;SI;;
2390 ;  5 ;  5 ; N/A ; 0.95;SI;;
2391 ; 14 ; 14 ; N/A ; 1.00;SI;;
2392 ; 10 ; 10 ; N/A ; 0.52;SI;;
2393 ; 34 ; 31 ; N/A ; 0.79;NO;;
2394 ; 18 ; 18 ; N/A ; 0.57;SI;;
2395 ; 24 ;  0 ; N/A ; 0.61;NO;;
2396 ; 29 ; 29 ; N/A ; 1.00;SI;;
2397 ;  0 ; 24 ; N/A ; 0.79;NO;;
2398 ; 28 ; 28 ; N/A ; 0.96;SI;;
2399 ; 31 ; 31 ; N/A ; 0.97;SI;;
2400 ;  8 ;  8 ; N/A ; 0.98;SI;;
2401 ; 17 ; 17 ; N/A ; 0.88;SI;;
2402 ; 30 ; 30 ; N/A ; 0.99;SI;;
2403 ; 16 ; 16 ; N/A ; 0.99;SI;;
2404 ;  8 ;  8 ; N/A ; 1.00;SI;;
2405 ; 21 ; 21 ; N/A ; 0.76;SI;;
2406 ; 34 ; 34 ; N/A ; 0.94;SI;;
2407 ; 20 ; 20 ; N/A ; 0.99;SI;;
2408 ; 32 ; 32 ; N/A ; 1.00;SI;;
2409 ;  2 ;  2 ; N/A ; 1.00;SI;;
2410 ; 17 ; 17 ; N/A ; 0.99;SI;;
2411 ; 14 ; 14 ; N/A ; 1.00;SI;;
2412 ;  2 ;  2 ; N/A ; 0.98;SI;;
2413 ; 26 ; 26 ; N/A ; 0.97;SI;;
2414 ; 15 ; 15 ; N/A ; 0.92;SI;;
2415 ; 12 ; 25 ; N/A ; 0.93;NO;;
2416 ; 10 ; 10 ; N/A ; 0.99;SI;;
2417 ; 28 ; 28 ; N/A ; 0.67;SI;;
2418 ;  4 ;  4 ; N/A ; 0.98;SI;;
2419 ; 21 ;  1 ; N/A ; 0.66;NO;;
2420 ; 19 ; 19 ; N/A ; 0.94;SI;;
2421 ; 24 ;  0 ; N/A ; 0.61;NO;;
2422 ; 13 ; 13 ; N/A ; 0.84;SI;;
2423 ;  3 ;  3 ; N/A ; 1.00;SI;;
2424 ;  7 ;  7 ; N/A ; 1.00;SI;;
2425 ; 27 ; 27 ; N/A ; 1.00;SI;;
2426 ; 12 ; 12 ; N/A ; 0.99;SI;;
2427 ; 13 ; 13 ; N/A ; 0.96;SI;;
2428 ; 24 ;  0 ; N/A ; 0.52;NO;;
2429 ; 28 ; 28 ; N/A ; 0.99;SI;;
2430 ; 27 ; 27 ; N/A ; 0.98;SI;;
2431 ;  2 ;  2 ; N/A ; 0.79;SI;;
2432 ; 17 ; 17 ; N/A ; 0.64;SI;;
2433 ; 34 ; 33 ; N/A ; 0.87;NO;;
2434 ;  9 ; 26 ; N/A ; 0.54;NO;;
2435 ; 11 ; 11 ; N/A ; 0.25;SI;;
2436 ; 16 ; 16 ; N/A ; 1.00;SI;;
2437 ; 18 ; 35 ; N/A ; 0.58;NO;;
2438 ; 33 ; 33 ; N/A ; 1.00;SI;;
2439 ;  0 ;  0 ; N/A ; 0.44;SI;;
2440 ; 31 ; 31 ; N/A ; 0.71;SI;;
2441 ; 13 ; 24 ; N/A ; 0.61;NO;;
2442 ; 22 ; 22 ; N/A ; 0.81;SI;;
2443 ; 34 ; 34 ; N/A ; 1.00;SI;;
2444 ; 14 ; 14 ; N/A ; 1.00;SI;;
2445 ; 27 ; 27 ; N/A ; 1.00;SI;;
2446 ; 16 ; 16 ; N/A ; 0.86;SI;;
2447 ; 18 ; 18 ; N/A ; 0.74;SI;;
2448 ;  9 ;  9 ; N/A ; 1.00;SI;;
2449 ;  0 ;  0 ; N/A ; 0.73;SI;;
2450 ; 33 ; 33 ; N/A ; 0.99;SI;;
2451 ; 21 ;  1 ; N/A ; 0.51;NO;;
2452 ;  8 ;  8 ; N/A ; 0.99;SI;;
2453 ;  6 ;  6 ; N/A ; 0.98;SI;;
2454 ; 16 ;  6 ; N/A ; 0.81;NO;;
2455 ; 15 ; 15 ; N/A ; 1.00;SI;;
2456 ; 15 ; 15 ; N/A ; 0.59;SI;;
2457 ; 11 ; 11 ; N/A ; 1.00;SI;;
2458 ; 21 ; 21 ; N/A ; 0.66;SI;;
2459 ; 11 ; 11 ; N/A ; 0.92;SI;;
2460 ; 24 ; 24 ; N/A ; 0.92;SI;;
2461 ; 18 ; 18 ; N/A ; 0.52;SI;;
2462 ; 21 ;  1 ; N/A ; 0.46;NO;;
2463 ; 11 ; 11 ; N/A ; 0.88;SI;;
2464 ; 24 ;  0 ; N/A ; 0.53;NO;;
2465 ;  9 ;  9 ; N/A ; 1.00;SI;;
2466 ; 14 ; 14 ; N/A ; 0.96;SI;;
2467 ;  8 ;  8 ; N/A ; 1.00;SI;;
2468 ; 35 ; 35 ; N/A ; 1.00;SI;;
2469 ; 12 ; 21 ; N/A ; 0.33;NO;;
2470 ; 11 ; 11 ; N/A ; 0.98;SI;;
2471 ; 24 ;  0 ; N/A ; 0.73;NO;;
2472 ; 12 ; 12 ; N/A ; 1.00;SI;;
2473 ; 34 ; 34 ; N/A ; 0.99;SI;;
2474 ; 21 ;  1 ; N/A ; 0.50;NO;;
2475 ; 24 ; 24 ; N/A ; 0.71;SI;;
2476 ; 14 ; 14 ; N/A ; 1.00;SI;;
2477 ; 35 ; 35 ; N/A ; 0.60;SI;;
2478 ; 18 ; 18 ; N/A ; 0.71;SI;;
2479 ; 17 ; 17 ; N/A ; 1.00;SI;;
2480 ; 11 ; 11 ; N/A ; 0.87;SI;;
2481 ; 27 ; 27 ; N/A ; 1.00;SI;;
2482 ; 29 ; 29 ; N/A ; 0.97;SI;;
2483 ; 22 ; 22 ; N/A ; 1.00;SI;;
2484 ; 27 ; 27 ; N/A ; 1.00;SI;;
2485 ; 14 ; 14 ; N/A ; 1.00;SI;;
2486 ;  5 ; 28 ; N/A ; 0.82;NO;;
2487 ;  7 ;  7 ; N/A ; 0.66;SI;;
2488 ;  2 ;  2 ; N/A ; 0.97;SI;;
2489 ;  4 ;  4 ; N/A ; 1.00;SI;;
2490 ;  3 ;  3 ; N/A ; 0.99;SI;;
2491 ; 12 ; 12 ; N/A ; 0.90;SI;;
2492 ; 17 ; 17 ; N/A ; 0.99;SI;;
2493 ; 30 ; 30 ; N/A ; 0.75;SI;;
2494 ;  8 ;  8 ; N/A ; 1.00;SI;;
2495 ;  7 ;  9 ; N/A ; 0.97;NO;;
2496 ; 34 ; 34 ; N/A ; 0.44;SI;;
2497 ;  0 ; 24 ; N/A ; 0.54;NO;;
2498 ; 18 ; 18 ; N/A ; 0.99;SI;;
2499 ; 12 ; 12 ; N/A ; 1.00;SI;;
2500 ; 20 ; 20 ; N/A ; 1.00;SI;;
2501 ;  2 ;  2 ; N/A ; 1.00;SI;;
2502 ; 20 ; 20 ; N/A ; 1.00;SI;;
2503 ; 34 ; 34 ; N/A ; 1.00;SI;;
2504 ; 23 ; 23 ; N/A ; 0.90;SI;;
2505 ; 27 ; 27 ; N/A ; 1.00;SI;;
2506 ; 31 ; 31 ; N/A ; 0.97;SI;;
2507 ; 29 ; 29 ; N/A ; 1.00;SI;;
2508 ; 11 ; 11 ; N/A ; 0.98;SI;;
2509 ; 12 ; 12 ; N/A ; 0.70;SI;;
2510 ; 28 ; 28 ; N/A ; 0.99;SI;;
2511 ; 26 ; 26 ; N/A ; 0.99;SI;;
2512 ;  8 ;  8 ; N/A ; 1.00;SI;;
2513 ;  4 ;  4 ; N/A ; 1.00;SI;;
2514 ; 23 ; 23 ; N/A ; 1.00;SI;;
2515 ; 31 ; 31 ; N/A ; 0.93;SI;;
2516 ; 29 ; 29 ; N/A ; 1.00;SI;;
2517 ; 32 ; 32 ; N/A ; 0.75;SI;;
2518 ;  7 ;  7 ; N/A ; 1.00;SI;;
2519 ; 26 ; 26 ; N/A ; 1.00;SI;;
2520 ; 25 ; 25 ; N/A ; 0.99;SI;;
2521 ; 13 ; 13 ; N/A ; 1.00;SI;;
2522 ; 29 ; 29 ; N/A ; 1.00;SI;;
2523 ; 22 ; 22 ; N/A ; 0.96;SI;;
2524 ; 23 ; 23 ; N/A ; 1.00;SI;;
2525 ;  9 ;  9 ; N/A ; 1.00;SI;;
2526 ; 35 ; 35 ; N/A ; 1.00;SI;;
2527 ;  6 ;  6 ; N/A ; 1.00;SI;;
2528 ; 23 ; 23 ; N/A ; 0.74;SI;;
2529 ; 20 ; 20 ; N/A ; 0.99;SI;;
2530 ; 35 ; 33 ; N/A ; 0.95;NO;;
2531 ; 22 ; 31 ; N/A ; 0.71;NO;;
2532 ; 16 ; 16 ; N/A ; 0.77;SI;;
2533 ; 27 ; 27 ; N/A ; 0.64;SI;;
2534 ; 35 ; 35 ; N/A ; 1.00;SI;;
2535 ; 20 ; 20 ; N/A ; 1.00;SI;;
2536 ; 10 ; 10 ; N/A ; 1.00;SI;;
2537 ; 13 ; 13 ; N/A ; 1.00;SI;;
2538 ; 21 ; 18 ; N/A ; 0.77;NO;;
2539 ; 18 ; 18 ; N/A ; 0.33;SI;;
2540 ; 15 ; 15 ; N/A ; 0.96;SI;;
2541 ; 30 ; 31 ; N/A ; 0.68;NO;;
2542 ; 24 ; 24 ; N/A ; 0.77;SI;;
2543 ;  6 ;  6 ; N/A ; 0.98;SI;;
2544 ; 26 ; 26 ; N/A ; 0.99;SI;;
2545 ;  7 ;  7 ; N/A ; 0.99;SI;;
2546 ;  0 ;  0 ; N/A ; 0.50;SI;;
2547 ; 32 ; 32 ; N/A ; 1.00;SI;;
2548 ; 26 ; 26 ; N/A ; 0.68;SI;;
2549 ; 25 ; 25 ; N/A ; 1.00;SI;;
2550 ; 21 ; 18 ; N/A ; 0.48;NO;;
2551 ; 21 ; 21 ; N/A ; 0.48;SI;;
2552 ;  6 ;  6 ; N/A ; 0.75;SI;;
2553 ;  5 ; 28 ; N/A ; 0.86;NO;;
2554 ;  3 ;  3 ; N/A ; 1.00;SI;;
2555 ; 23 ; 23 ; N/A ; 1.00;SI;;
2556 ; 10 ; 10 ; N/A ; 0.61;SI;;
2557 ; 23 ; 23 ; N/A ; 0.94;SI;;
2558 ; 31 ; 31 ; N/A ; 0.98;SI;;
2559 ; 27 ; 27 ; N/A ; 0.92;SI;;
2560 ; 10 ; 10 ; N/A ; 0.99;SI;;
2561 ; 33 ; 33 ; N/A ; 0.99;SI;;
2562 ; 16 ; 16 ; N/A ; 0.69;SI;;
2563 ; 22 ; 22 ; N/A ; 0.76;SI;;
2564 ; 30 ; 30 ; N/A ; 0.97;SI;;
2565 ; 18 ; 18 ; N/A ; 0.64;SI;;
2566 ; 19 ; 19 ; N/A ; 0.99;SI;;
2567 ;  8 ;  8 ; N/A ; 1.00;SI;;
2568 ; 24 ; 24 ; N/A ; 0.82;SI;;
2569 ; 10 ; 10 ; N/A ; 0.99;SI;;
2570 ;  2 ; 19 ; N/A ; 0.54;NO;;
2571 ; 31 ; 31 ; N/A ; 1.00;SI;;
2572 ; 21 ; 18 ; N/A ; 0.61;NO;;
2573 ;  7 ;  7 ; N/A ; 0.99;SI;;
2574 ; 31 ; 31 ; N/A ; 0.81;SI;;
2575 ; 32 ; 32 ; N/A ; 1.00;SI;;
2576 ;  3 ;  3 ; N/A ; 1.00;SI;;
2577 ; 12 ; 12 ; N/A ; 0.95;SI;;
2578 ; 27 ; 27 ; N/A ; 1.00;SI;;
2579 ; 26 ; 26 ; N/A ; 1.00;SI;;
2580 ; 32 ; 32 ; N/A ; 0.97;SI;;
2581 ; 16 ; 16 ; N/A ; 0.98;SI;;
2582 ; 31 ; 31 ; N/A ; 0.86;SI;;
2583 ; 34 ; 34 ; N/A ; 1.00;SI;;
2584 ; 11 ; 11 ; N/A ; 0.97;SI;;
2585 ;  8 ;  8 ; N/A ; 0.76;SI;;
2586 ;  5 ;  5 ; N/A ; 1.00;SI;;
2587 ;  3 ;  3 ; N/A ; 1.00;SI;;
2588 ; 25 ; 25 ; N/A ; 1.00;SI;;
2589 ; 22 ; 22 ; N/A ; 1.00;SI;;
2590 ;  8 ;  8 ; N/A ; 1.00;SI;;
2591 ; 32 ; 32 ; N/A ; 1.00;SI;;
2592 ;  6 ;  6 ; N/A ; 1.00;SI;;
2593 ; 12 ; 12 ; N/A ; 1.00;SI;;
2594 ; 21 ; 21 ; N/A ; 0.99;SI;;
2595 ; 11 ; 11 ; N/A ; 0.84;SI;;
2596 ; 21 ; 21 ; N/A ; 0.89;SI;;
2597 ;  5 ;  5 ; N/A ; 0.67;SI;;
2598 ; 11 ; 16 ; N/A ; 0.77;NO;;
2599 ; 23 ; 23 ; N/A ; 0.95;SI;;
2600 ; 14 ; 14 ; N/A ; 1.00;SI;;
2601 ;  9 ;  9 ; N/A ; 1.00;SI;;
2602 ;  1 ;  1 ; N/A ; 0.69;SI;;
2603 ; 13 ; 13 ; N/A ; 1.00;SI;;
2604 ; 34 ; 34 ; N/A ; 1.00;SI;;
2605 ; 33 ; 33 ; N/A ; 1.00;SI;;
2606 ; 27 ; 27 ; N/A ; 0.75;SI;;
2607 ; 12 ; 12 ; N/A ; 0.96;SI;;
2608 ; 29 ; 29 ; N/A ; 1.00;SI;;
2609 ;  3 ;  3 ; N/A ; 0.49;SI;;
2610 ;  4 ;  4 ; N/A ; 0.99;SI;;
2611 ;  6 ;  6 ; N/A ; 1.00;SI;;
2612 ; 30 ; 30 ; N/A ; 1.00;SI;;
2613 ;  4 ; 34 ; N/A ; 0.66;NO;;
2614 ;  3 ;  3 ; N/A ; 1.00;SI;;
2615 ; 19 ; 19 ; N/A ; 0.99;SI;;
2616 ;  5 ;  5 ; N/A ; 0.91;SI;;
2617 ; 25 ;  8 ; N/A ; 0.93;NO;;
2618 ;  6 ;  6 ; N/A ; 1.00;SI;;
2619 ; 17 ; 17 ; N/A ; 0.97;SI;;
2620 ; 13 ; 13 ; N/A ; 1.00;SI;;
2621 ; 14 ; 14 ; N/A ; 0.93;SI;;
2622 ;  1 ;  1 ; N/A ; 0.75;SI;;
2623 ; 15 ; 15 ; N/A ; 1.00;SI;;
2624 ;  3 ;  3 ; N/A ; 0.98;SI;;
2625 ; 12 ; 12 ; N/A ; 1.00;SI;;
2626 ;  1 ;  1 ; N/A ; 0.64;SI;;
2627 ; 17 ; 17 ; N/A ; 0.96;SI;;
2628 ; 19 ; 19 ; N/A ; 0.97;SI;;
2629 ;  9 ;  9 ; N/A ; 1.00;SI;;
2630 ; 29 ; 29 ; N/A ; 1.00;SI;;
2631 ; 16 ; 16 ; N/A ; 0.99;SI;;
2632 ; 14 ; 14 ; N/A ; 1.00;SI;;
2633 ;  4 ;  4 ; N/A ; 1.00;SI;;
2634 ; 22 ; 22 ; N/A ; 0.99;SI;;
2635 ; 12 ; 12 ; N/A ; 0.98;SI;;
2636 ; 31 ; 31 ; N/A ; 0.99;SI;;
2637 ;  9 ;  9 ; N/A ; 0.99;SI;;
2638 ;  7 ;  7 ; N/A ; 1.00;SI;;
2639 ; 12 ; 12 ; N/A ; 1.00;SI;;
2640 ; 12 ; 12 ; N/A ; 1.00;SI;;
2641 ; 12 ; 12 ; N/A ; 0.95;SI;;
2642 ; 12 ; 28 ; N/A ; 0.44;NO;;
2643 ;  6 ;  6 ; N/A ; 1.00;SI;;
2644 ;  4 ;  4 ; N/A ; 1.00;SI;;
2645 ; 32 ; 32 ; N/A ; 1.00;SI;;
2646 ; 22 ; 22 ; N/A ; 1.00;SI;;
2647 ; 25 ; 25 ; N/A ; 0.97;SI;;
